date,venue,city,state,country,set,position,song,song_slug,segue_into,show_url
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,1,In The Flesh,in-the-flesh,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,2,Spanish Castle Magic,spanish-castle-magic,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,3,Possum,possum,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,4,Peaches En Regalia,peaches-en-regalia,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,5,Maze,maze,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,6,La Grange,la-grange,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-02-11,Unknown Venue,Philadelphia,PA,US,S1,7,"My Friend, My Friend",my-friend-my-friend,,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,1,The Other One,the-other-one,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,2,Nughuffer,nughuffer,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,3,The Other One,the-other-one,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,4,Mary Had A Little Lamb,mary-had-a-little-lamb,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,5,The Other One,the-other-one,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,6,Run Like An Antelope,run-like-an-antelope,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,7,Mike's Song,mike-s-song,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,8,unknown,unknown,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,9,In The Flesh,in-the-flesh,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,10,Run Like Hell,run-like-hell,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,11,Punch You In The Eye,punch-you-in-the-eye,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,12,Peaches En Regalia,peaches-en-regalia,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,13,AC/DC Bag,ac-dc-bag,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-04-01,Unknown Venue,Philadelphia,PA,US,S1,14,Down To The Bottom,down-to-the-bottom,,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-09-16,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,S1,1,Peaches En Regalia,peaches-en-regalia,,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
1995-09-16,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,S1,2,You Enjoy Myself,you-enjoy-myself,,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
1995-09-16,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,S1,3,Nughuffer,nughuffer,,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
1995-09-16,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,S1,4,Eduardo The Penguin,eduardo-the-penguin,,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
