date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
1995-02-11,1995,2,11,Saturday,Unknown Venue,Philadelphia,PA,US,7,https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa
1995-04-01,1995,4,1,Saturday,Unknown Venue,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa
1995-09-16,1995,9,16,Saturday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,16,https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa
1995-10-23,1995,10,23,Monday,Unknown Location,,,US,6,https://discobiscuits.net/shows/1995-10-23-unknown-location
1995-11-09,1995,11,9,Thursday,Unknown Location,,,US,26,https://discobiscuits.net/shows/1995-11-09-unknown-location
1995-12-01,1995,12,1,Friday,4000 Pine Street,Philadelphia,PA,US,4,https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa-2
1995-12-01,1995,12,1,Friday,4000 Pine Street,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa
1995-12-02,1995,12,2,Saturday,Blarney Stone,Philadelphia,PA,US,22,https://discobiscuits.net/shows/1995-12-02-blarney-stone-philadelphia-pa
1995-12-09,1995,12,9,Saturday,Blarney Stone,Philadelphia,PA,US,8,https://discobiscuits.net/shows/1995-12-09-blarney-stone-philadelphia-pa
1995-12-10,1995,12,10,Sunday,Unknown Venue,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1995-12-10-unknown-venue-philadelphia-pa
1995-12-11,1995,12,11,Monday,Blarney Stone,Philadelphia,PA,US,2,https://discobiscuits.net/shows/1995-12-11-blarney-stone-philadelphia-pa
1995-12-31,1995,12,31,Sunday,Sam Adams' Brewhouse,Philadelphia,PA,US,4,https://discobiscuits.net/shows/1995-12-31-sam-adams-brewhouse-philadelphia-pa
1996-02-08,1996,2,8,Thursday,Sam Adams' Brewhouse,Philadelphia,PA,US,11,https://discobiscuits.net/shows/1996-02-08-sam-adams-brewhouse-philadelphia-pa
1996-02-13,1996,2,13,Tuesday,"Campus Grille, Temple University",Philadelphia,PA,US,27,https://discobiscuits.net/shows/1996-02-13-campus-grille-temple-university-philadelphia-pa
1996-03-02,1996,3,2,Saturday,Sam Adams' Brewhouse,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1996-03-02-sam-adams-brewhouse-philadelphia-pa
1996-03-04,1996,3,4,Monday,J.C. Dobb's,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1996-03-04-j-c-dobb-s-philadelphia-pa
1996-03-21,1996,3,21,Thursday,Trocadero,Philadelphia,PA,US,8,https://discobiscuits.net/shows/1996-03-21-trocadero-philadelphia-pa
1996-03-23,1996,3,23,Saturday,Blarney Stone,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-03-23-blarney-stone-philadelphia-pa
1996-03-30,1996,3,30,Saturday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,21,https://discobiscuits.net/shows/1996-03-30-zeta-psi-university-of-pennsylvania-philadelphia-pa
1996-04-18,1996,4,18,Thursday,"Penn Rocks, Univerisity Of Pennsylvania",Philadelphia,PA,US,7,https://discobiscuits.net/shows/1996-04-18-penn-rocks-univerisity-of-pennsylvania-philadelphia-pa
1996-04-19,1996,4,19,Friday,"Zeta Psi, University Of Pennsylvania",Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-19-zeta-psi-university-of-pennsylvania-philadelphia-pa
1996-04-20,1996,4,20,Saturday,"Alpha Delta Pi, University Of Pennsylvania",Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-20-alpha-delta-pi-university-of-pennsylvania-philadelphia-pa
1996-04-25,1996,4,25,Thursday,Middle East,Philadelphia,PA,US,0,https://discobiscuits.net/shows/1996-04-25-middle-east-philadelphia-pa
1996-05-10,1996,5,10,Friday,Silk City Diner,Philadelphia,PA,US,6,https://discobiscuits.net/shows/1996-05-10-silk-city-diner-philadelphia-pa
1996-05-18,1996,5,18,Saturday,Blarney Stone,Philadelphia,PA,US,16,https://discobiscuits.net/shows/1996-05-18-blarney-stone-philadelphia-pa
1996-05-25,1996,5,25,Saturday,Nate's Farm,Canton,MA,US,15,https://discobiscuits.net/shows/1996-05-25-nate-s-farm-canton-ma
1996-05-30,1996,5,30,Thursday,Doc Watson's,Philadelphia,PA,US,10,https://discobiscuits.net/shows/1996-05-30-doc-watson-s-philadelphia-pa
1996-06-05,1996,6,5,Wednesday,Downtime,New York,NY,US,16,https://discobiscuits.net/shows/1996-06-05-downtime-new-york-ny
1996-07-04,1996,7,4,Thursday,Doc Watson's,Philadelphia,PA,US,9,https://discobiscuits.net/shows/1996-07-04-doc-watson-s-philadelphia-pa
1996-07-05,1996,7,5,Friday,Downtime,New York,NY,US,9,https://discobiscuits.net/shows/1996-07-05-downtime-new-york-ny
1996-07-06,1996,7,6,Saturday,Sam Adams' Brewhouse,Philadelphia,PA,US,11,https://discobiscuits.net/shows/1996-07-06-sam-adams-brewhouse-philadelphia-pa
1996-08-07,1996,8,7,Wednesday,Wetlands Preserve,New York,NY,US,13,https://discobiscuits.net/shows/1996-08-07-wetlands-preserve-new-york-ny
1996-08-14,1996,8,14,Wednesday,Grog and Tankard,Washington,DC,US,2,https://discobiscuits.net/shows/1996-08-14-grog-and-tankard-washington-dc
1996-09-06,1996,9,6,Friday,"Phi Sigma Delta Sigma, Penn State",State College,PA,US,18,https://discobiscuits.net/shows/1996-09-06-phi-sigma-delta-sigma-penn-state-state-college-pa
1996-09-12,1996,9,12,Thursday,"Fraternity House, Penn State",State College,PA,US,18,https://discobiscuits.net/shows/1996-09-12-fraternity-house-penn-state-state-college-pa
1996-09-21,1996,9,21,Saturday,Middle East,Philadelphia,PA,US,14,https://discobiscuits.net/shows/1996-09-21-middle-east-philadelphia-pa
1996-10-21,1996,10,21,Monday,Downtime,New York,NY,US,2,https://discobiscuits.net/shows/1996-10-21-downtime-new-york-ny
1996-11-26,1996,11,26,Tuesday,Wetlands Preserve,New York,NY,US,4,https://discobiscuits.net/shows/1996-11-26-wetlands-preserve-new-york-ny
1996-12-06,1996,12,6,Friday,"Irvine Auditorium, University of Pennsylvania",Philadelphia,PA,US,2,https://discobiscuits.net/shows/1996-12-06-irvine-auditorium-university-of-pennsylvania-philadelphia-pa
1996-12-14,1996,12,14,Saturday,Lion's Den,New York,NY,US,18,https://discobiscuits.net/shows/1996-12-14-lion-s-den-new-york-ny
1996-12-27,1996,12,27,Friday,New Music Cafe,New York,NY,US,9,https://discobiscuits.net/shows/1996-12-27-new-music-cafe-new-york-ny
