song_slug,song,total_plays,debut_date,last_played,most_common_set,avg_set_position,segue_pct
helicopters,Helicopters,482,1998-08-28,2025-12-31,S1,4.0,0.0
basis-for-a-day,Basis For A Day,465,1995-11-09,2025-09-07,S2,5.0,0.0
i-man,I-Man,461,1997-04-19,2026-02-08,S1,4.1,0.0
morph-dusseldorf,Morph Dusseldorf,423,1996-09-12,2025-08-27,S1,4.1,0.0
little-shimmy-in-a-conga-line,Little Shimmy In A Conga Line,383,1998-02-26,2025-12-21,S1,3.6,0.0
above-the-waves,Above The Waves,354,1998-12-29,2026-02-07,S2,3.8,0.0
mindless-dribble,Mindless Dribble,351,1998-02-19,2025-12-31,S2,3.6,0.0
run-like-hell,Run Like Hell,350,1995-04-01,2025-08-22,S1,4.1,0.0
aceetobee,Aceetobee,341,1995-11-09,2025-11-19,S1,4.2,0.0
shem-rah-boo,Shem-Rah Boo,335,1997-01-17,2025-09-07,S1,3.7,0.0
confrontation,Confrontation,331,2000-08-26,2025-12-30,S1,4.1,0.0
m-e-m-p-h-i-s,M.E.M.P.H.I.S.,322,1997-11-20,2025-11-19,S1,3.2,0.0
crickets,Crickets,312,2000-04-15,2025-12-27,S2,3.7,0.0
munchkin-invasion,Munchkin Invasion,304,2000-04-29,2025-12-27,S2,3.8,0.0
bernstein-and-chasnoff,Bernstein and Chasnoff,280,1996-07-04,2025-06-22,S1,4.3,0.0
spacebirdmatingcall,Spacebirdmatingcall,280,2001-03-17,2025-12-27,S1,4.0,0.0
and-the-ladies-were-the-rest-of-the-night,And the Ladies Were the Rest of the Night,279,2000-12-30,2025-08-21,S2,3.9,0.0
digital-buddha,Digital Buddha,267,2002-09-26,2025-12-28,S1,3.8,0.0
story-of-the-world,Story of the World,266,2000-03-11,2025-12-30,S1,3.8,0.0
astronaut,Astronaut,263,2001-08-08,2025-12-27,S1,3.9,0.0
magellan,Magellan,261,1998-04-22,2026-02-07,S1,3.8,0.0
caterpillar,Caterpillar,255,2003-10-23,2025-12-28,S1,3.6,0.0
mr-don,Mr. Don,253,1995-12-01,2025-12-30,S1,4.1,0.0
vassillios,Vassillios,249,1996-12-14,2025-09-05,S1,3.6,0.0
little-betty-boop,Little Betty Boop,248,1997-07-05,2025-06-25,S1,3.9,0.0
svenghali,Svenghali,243,1999-09-08,2025-12-20,S1,3.7,0.0
rock-candy,Rock Candy,243,2002-07-25,2025-12-31,S1,3.9,0.0
nughuffer,Nughuffer,240,1995-04-01,2025-11-22,S1,4.4,0.0
voices-insane,Voices Insane,238,1998-10-21,2025-12-31,S1,3.5,0.0
house-dog-party-favor,House Dog Party Favor,232,1999-08-11,2026-02-08,S2,3.6,0.0
