song_slug,song_title,show_date,venue,city,state,show_url,set_name,set_index,segue_in,segue_out
a-chance-to-save-the-world,One Chance To Save The World,2022-06-19,6/19/22 at Mann Center for the Performing Arts,Philadelphia,PA,https://discobiscuits.net/shows/2022-06-19-mann-center-for-the-performing-arts-philadelphia-pa,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2022-08-26,8/26/22 at The Intersection,Grand Rapids,MI,https://discobiscuits.net/shows/2022-08-26-the-intersection-grand-rapids-mi,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2022-09-09,9/9/22 at Southside Stage @ XL Live,Harrisburg,PA,https://discobiscuits.net/shows/2022-09-09-southside-stage-xl-live-harrisburg-pa,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2022-10-01,10/1/22 at Saranac Brewery,Utica,NY,https://discobiscuits.net/shows/2022-10-01-saranac-brewery-utica-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2022-11-11,11/11/22 at Infinity Music Hall,Hartford,CT,https://discobiscuits.net/shows/2022-11-11-infinity-music-hall-hartford-ct,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-03-11,3/11/23 at The Caverns,Pelham,TN,https://discobiscuits.net/shows/2023-03-11-the-caverns-pelham-tn,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-03-24,3/24/23 at The Capitol Theater,Port Chester,NY,https://discobiscuits.net/shows/2023-03-24-the-capitol-theater-port-chester-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-03-30,3/30/23 at Belly Up Aspen,Aspen,CO,https://discobiscuits.net/shows/2023-03-30-belly-up-aspen-aspen-co,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-05-04,5/4/23 at Soul Kitchen,Mobile,AL,https://discobiscuits.net/shows/2023-05-04-soul-kitchen-mobile-al,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-05-22,5/22/23 at Harpa Concert Hall,Reykjavik,ICELAND,https://discobiscuits.net/shows/2023-05-22-harpa-concert-hall-reykjavik-iceland,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-06-17,6/17/23 at Mulcahy's,Wantagh,NY,https://discobiscuits.net/shows/2023-06-17-mulcahy-s-wantagh-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-07-09,7/9/23 at Pine Creek Lodge,Livingston,MT,https://discobiscuits.net/shows/2023-07-09-pine-creek-lodge-livingston-montana,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-07-15,7/15/23 at Roseland Theater,Portland,OREGON,https://discobiscuits.net/shows/2023-07-15-roseland-theater-portland-oregon,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-08-13,8/13/23 at Bottle & Cork,Dewey Beach,DE,https://discobiscuits.net/shows/2023-08-13-bottle-cork-dewey-beach-de,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-09-23,9/23/23 at Vogue Theater,Indianapolis,IN,https://discobiscuits.net/shows/2023-09-23-vogue-theater-indianapolis-in,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-07-18,7/18/23 at Sapphire Palace at Blue Lake Casino,Blue Lake,CA,https://discobiscuits.net/shows/2023-07-18-sapphire-palace-at-blue-lake-casino-blue-lake-ca,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-10-28,10/28/23 at The Capitol Theater,Port Chester,NY,https://discobiscuits.net/shows/2023-10-28-the-capitol-theater-port-chester-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-08-11,8/11/23 at Blackthorne Resort,East Durham,NY,https://discobiscuits.net/shows/2023-08-11-blackthorne-resort-east-durham-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2023-12-01,12/1/23 at Miami Beach Bandshell,Miami Beach,FL,https://discobiscuits.net/shows/2023-12-01-miami-beach-bandshell-miami-beach-fl,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-01-25,1/25/24 at Crystal Bay Club Casino,Crystal Bay,NV,https://discobiscuits.net/shows/2024-01-24-crystal-bay-club-casino-crystal-bay-nv,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-03-15,3/15/24 at State Theater,Portland,ME,https://discobiscuits.net/shows/2024-03-15-state-theater-portland-me,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-03-29,3/29/24 at Webster Hall,New York,NY,https://discobiscuits.net/shows/2024-03-29-webster-hall-new-york-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-04-02,4/2/24 at Mercury Ballroom,Louisville,KY,https://discobiscuits.net/shows/2024-04-02-mercury-ballroom-louisville-ky,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-04-06,4/6/24 at Longhorn Ballroom,Dallas,TX,https://discobiscuits.net/shows/2024-04-06-longhorn-ballroom-dallas-tx,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-04-14,4/14/24 at Lincoln Theater,Raleigh,NC,https://discobiscuits.net/shows/2024-04-13-lincoln-theater-raleigh-nc,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-07-11,7/11/24 at Freedom Arts Pavillion,Selbyville,DE,https://discobiscuits.net/shows/2024-07-10-freedom-arts-pavillion-selbyville-de,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-09-05,9/5/24 at Washington’s,Fort Collins,CO,https://discobiscuits.net/shows/2024-09-05-washington-s-fort-collins-co,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-11-06,11/6/24 at Rams Head Live,Baltimore,MD,https://discobiscuits.net/shows/2024-11-06-rams-head-live-baltimore-md,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-11-17,11/17/24 at Paramount Theatre,Rutland,VT,https://discobiscuits.net/shows/2024-11-17-paramount-theatre-rutland-vt,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2024-11-24,11/24/24 at Town Ballroom,Buffalo,NY,https://discobiscuits.net/shows/2024-11-24-town-ballroom-buffalo-ny,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2025-01-30,1/30/25 at The Observatory,Santa Ana,CA,https://discobiscuits.net/shows/2025-01-30-the-observatory-santa-ana-ca,Unknown,,,
a-chance-to-save-the-world,One Chance To Save The World,2025-06-26,6/26/25 at The Bluestone,Columbus,OH,https://discobiscuits.net/shows/2025-06-26-the-bluestone-columbus-oh,Unknown,,,
42,42,2003-04-03,Fox Theatre,Boulder,CO,https://discobiscuits.net/shows/2003-04-03-fox-theatre-boulder-co,Unknown,,,
42,42,2003-04-05,8150,Vail,CO,https://discobiscuits.net/shows/2003-04-05-8150-vail-co,Unknown,,,
42,42,2003-04-10,Revolution Hall,Troy,NY,https://discobiscuits.net/shows/2003-04-10-revolution-hall-troy-ny,Unknown,,,
42,42,2003-04-13,Roxy Nightclub,Boston,MA,https://discobiscuits.net/shows/2003-04-13-roxy-nightclub-boston-ma,Unknown,,,
42,42,2003-04-18,Vic Theatre,Chicago,IL,https://discobiscuits.net/shows/2003-04-18-vic-theatre-chicago-il,Unknown,,,
42,42,2003-04-16,Blind Pig Ann,Arbor,MI,https://discobiscuits.net/shows/2003-04-16-blind-pig-ann-arbor-mi,Unknown,,,
42,42,2003-04-23,9 30 Club,Washington,DC,https://discobiscuits.net/shows/2003-04-23-9-30-club-washington-dc,Unknown,,,
42,42,2003-04-26,Charlotte City Fest,Charlotte,NC,https://discobiscuits.net/shows/2003-04-26-charlotte-city-fest-charlotte-nc,Unknown,,,
42,42,2003-05-04,The Riverboat Cajun Queen New,Orleans,LA,https://discobiscuits.net/shows/2003-05-04-the-riverboat-cajun-queen-new-orleans-la,Unknown,,,
42,42,2003-05-26,Penn S Landing,Philadelphia,PA,https://discobiscuits.net/shows/2003-05-26-penn-s-landing-philadelphia-pa,Unknown,,,
42,42,2003-05-31,Moose River Amphitheatre,Lyonsdale,NY,https://discobiscuits.net/shows/2003-05-31-moose-river-amphitheatre-lyonsdale-ny,Unknown,,,
42,42,2003-07-05,Plumas Country Fairgrounds,Quincy,CA,https://discobiscuits.net/shows/2003-07-05-plumas-country-fairgrounds-quincy-ca,Unknown,,,
42,42,2003-07-12,State Fair Event Center,Lewisburg,WV,https://discobiscuits.net/shows/2003-07-12-state-fair-event-center-lewisburg-wv,Unknown,,,
42,42,2003-07-26,Mishawaka Amphitheater,Bellvue,CO,https://discobiscuits.net/shows/2003-07-26-mishawaka-amphitheater-bellvue-co,Unknown,,,
42,42,2003-08-08,Amazura Ballroom,Jamaica,NY,https://discobiscuits.net/shows/2003-08-08-amazura-ballroom-jamaica-ny,Unknown,,,
42,42,2003-08-15,Trade Music Festival Farm,Trade,TN,https://discobiscuits.net/shows/2003-08-15-trade-music-festival-farm-trade-tn,Unknown,,,
42,42,2003-08-21,Crocodile Rock,Allentown,PA,https://discobiscuits.net/shows/2003-08-21-crocodile-rock-allentown-pa,Unknown,,,
42,42,2003-10-01,The Funk Box,Baltimore,MD,https://discobiscuits.net/shows/2003-10-01-the-funk-box-baltimore-md,Unknown,,,
42,42,2003-10-23,Stella Blue,Asheville,NC,https://discobiscuits.net/shows/2003-10-23-stella-blue-asheville-nc,Unknown,,,
42,42,2003-10-30,The Parish New,Orleans,LA,https://discobiscuits.net/shows/2003-10-30-the-parish-new-orleans-la,Unknown,,,
42,42,2003-12-31,Hammerstein Ballroom New,York,NY,https://discobiscuits.net/shows/2003-12-31-hammerstein-ballroom-new-york-ny,Unknown,,,
42,42,2003-11-28,Webster Theater,Hartford,CT,https://discobiscuits.net/shows/2003-11-28-webster-theater-hartford-ct,Unknown,,,
42,42,2004-01-12,Imperial Majesty Regal Empress The Open,Seas,FL,https://discobiscuits.net/shows/2004-01-12-imperial-majesty-regal-empress-the-open-seas-fl,Unknown,,,
42,42,2004-01-16,Culture Room Fort,Lauderdale,FL,https://discobiscuits.net/shows/2004-01-16-culture-room-fort-lauderdale-fl,Unknown,,,
42,42,2004-05-07,Palace Theater,Albany,NY,https://discobiscuits.net/shows/2004-05-07-palace-theater-albany-ny,Unknown,,,
42,42,2004-10-01,Mcdonough Gymnasium At Georgetown University,Washington,DC,https://discobiscuits.net/shows/2004-10-01-mcdonough-gymnasium-at-georgetown-university-washington-dc,Unknown,,,
42,42,2004-11-27,Starland Ballroom,Sayreville,NJ,https://discobiscuits.net/shows/2004-11-27-starland-ballroom-sayreville-nj,Unknown,,,
42,42,2004-12-29,Electric Factory,Philadelphia,PA,https://discobiscuits.net/shows/2004-12-29-electric-factory-philadelphia-pa,Unknown,,,
42,42,2004-12-30,Electric Factory,Philadelphia,PA,https://discobiscuits.net/shows/2004-12-30-electric-factory-philadelphia-pa,Unknown,,,
42,42,2005-03-24,Starland Ballroom,Sayreville,NJ,https://discobiscuits.net/shows/2005-03-24-starland-ballroom-sayreville-nj,Unknown,,,
42,42,2005-07-23,Stone Pony Asbury,Park,NJ,https://discobiscuits.net/shows/2005-07-23-stone-pony-asbury-park-nj,Unknown,,,
42,42,2005-11-19,The Music Box At The Borgata Hotel And Casino Atlantic,City,NJ,https://discobiscuits.net/shows/2005-11-19-the-music-box-at-the-borgata-hotel-and-casino-atlantic-city-nj,Unknown,,,
42,42,2005-12-28,Tower Theater Upper,Darby,PA,https://discobiscuits.net/shows/2005-12-28-tower-theater-upper-darby-pa,Unknown,,,
42,42,2005-12-31,Hammerstein Ballroom New,York,NY,https://discobiscuits.net/shows/2005-12-31-hammerstein-ballroom-new-york-ny,Unknown,,,
42,42,2006-02-25,Starland Ballroom,Sayreville,NJ,https://discobiscuits.net/shows/2006-02-25-starland-ballroom-sayreville-nj,Unknown,,,
