show_url,show_date,venue,city,state
https://discobiscuits.net/shows/1995-02-11-unknown-venue-philadelphia-pa,1995-02-11,Unknown Venue,Philadelphia,PA
https://discobiscuits.net/shows/1995-04-01-unknown-venue-philadelphia-pa,1995-04-01,Unknown Venue,Philadelphia,PA
https://discobiscuits.net/shows/1995-10-23-unknown-location,1995-10-23,,Unknown,LOCATION
https://discobiscuits.net/shows/1995-09-16-zeta-psi-university-of-pennsylvania-philadelphia-pa,1995-09-16,Zeta Psi University Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1995-11-09-unknown-location,1995-11-09,,Unknown,LOCATION
https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa,1995-12-01,4000 Pine Street,Philadelphia,PA
https://discobiscuits.net/shows/1995-12-01-4000-pine-street-philadelphia-pa-2,1995-12-01,4000 Pine Street Philadelphia,Pa,2
https://discobiscuits.net/shows/1995-12-02-blarney-stone-philadelphia-pa,1995-12-02,Blarney Stone,Philadelphia,PA
https://discobiscuits.net/shows/1995-12-09-blarney-stone-philadelphia-pa,1995-12-09,Blarney Stone,Philadelphia,PA
https://discobiscuits.net/shows/1995-12-10-unknown-venue-philadelphia-pa,1995-12-10,Unknown Venue,Philadelphia,PA
https://discobiscuits.net/shows/1995-12-11-blarney-stone-philadelphia-pa,1995-12-11,Blarney Stone,Philadelphia,PA
https://discobiscuits.net/shows/1995-12-31-sam-adams-brewhouse-philadelphia-pa,1995-12-31,Sam Adams Brewhouse,Philadelphia,PA
https://discobiscuits.net/shows/1996-02-08-sam-adams-brewhouse-philadelphia-pa,1996-02-08,Sam Adams Brewhouse,Philadelphia,PA
https://discobiscuits.net/shows/1996-02-13-campus-grille-temple-university-philadelphia-pa,1996-02-13,Campus Grille Temple University,Philadelphia,PA
https://discobiscuits.net/shows/1996-03-02-sam-adams-brewhouse-philadelphia-pa,1996-03-02,Sam Adams Brewhouse,Philadelphia,PA
https://discobiscuits.net/shows/1996-03-04-j-c-dobb-s-philadelphia-pa,1996-03-04,J C Dobb S,Philadelphia,PA
https://discobiscuits.net/shows/1996-03-21-trocadero-philadelphia-pa,1996-03-21,Trocadero,Philadelphia,PA
https://discobiscuits.net/shows/1996-03-23-blarney-stone-philadelphia-pa,1996-03-23,Blarney Stone,Philadelphia,PA
https://discobiscuits.net/shows/1996-03-30-zeta-psi-university-of-pennsylvania-philadelphia-pa,1996-03-30,Zeta Psi University Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1996-04-18-penn-rocks-univerisity-of-pennsylvania-philadelphia-pa,1996-04-18,Penn Rocks Univerisity Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1996-04-19-zeta-psi-university-of-pennsylvania-philadelphia-pa,1996-04-19,Zeta Psi University Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1996-04-20-alpha-delta-pi-university-of-pennsylvania-philadelphia-pa,1996-04-20,Alpha Delta Pi University Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1996-04-25-middle-east-philadelphia-pa,1996-04-25,Middle East,Philadelphia,PA
https://discobiscuits.net/shows/1996-05-10-silk-city-diner-philadelphia-pa,1996-05-10,Silk City Diner,Philadelphia,PA
https://discobiscuits.net/shows/1996-05-18-blarney-stone-philadelphia-pa,1996-05-18,Blarney Stone,Philadelphia,PA
https://discobiscuits.net/shows/1996-05-25-nate-s-farm-canton-ma,1996-05-25,Nate S Farm,Canton,MA
https://discobiscuits.net/shows/1996-05-30-doc-watson-s-philadelphia-pa,1996-05-30,Doc Watson S,Philadelphia,PA
https://discobiscuits.net/shows/1996-06-05-downtime-new-york-ny,1996-06-05,Downtime New,York,NY
https://discobiscuits.net/shows/1996-07-04-doc-watson-s-philadelphia-pa,1996-07-04,Doc Watson S,Philadelphia,PA
https://discobiscuits.net/shows/1996-07-05-downtime-new-york-ny,1996-07-05,Downtime New,York,NY
https://discobiscuits.net/shows/1996-07-06-sam-adams-brewhouse-philadelphia-pa,1996-07-06,Sam Adams Brewhouse,Philadelphia,PA
https://discobiscuits.net/shows/1996-08-07-wetlands-preserve-new-york-ny,1996-08-07,Wetlands Preserve New,York,NY
https://discobiscuits.net/shows/1996-08-14-grog-and-tankard-washington-dc,1996-08-14,Grog And Tankard,Washington,DC
https://discobiscuits.net/shows/1996-09-06-phi-sigma-delta-sigma-penn-state-state-college-pa,1996-09-06,Phi Sigma Delta Sigma Penn State State,College,PA
https://discobiscuits.net/shows/1996-09-12-fraternity-house-penn-state-state-college-pa,1996-09-12,Fraternity House Penn State State,College,PA
https://discobiscuits.net/shows/1996-09-21-middle-east-philadelphia-pa,1996-09-21,Middle East,Philadelphia,PA
https://discobiscuits.net/shows/1996-10-21-downtime-new-york-ny,1996-10-21,Downtime New,York,NY
https://discobiscuits.net/shows/1996-11-26-wetlands-preserve-new-york-ny,1996-11-26,Wetlands Preserve New,York,NY
https://discobiscuits.net/shows/1996-12-06-irvine-auditorium-university-of-pennsylvania-philadelphia-pa,1996-12-06,Irvine Auditorium University Of Pennsylvania,Philadelphia,PA
https://discobiscuits.net/shows/1996-12-14-lion-s-den-new-york-ny,1996-12-14,Lion S Den New,York,NY
https://discobiscuits.net/shows/1996-12-27-new-music-cafe-new-york-ny,1996-12-27,New Music Cafe New,York,NY
https://discobiscuits.net/shows/1996-12-28-middle-east-philadelphia-pa,1996-12-28,Middle East,Philadelphia,PA
